                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4646,                 2.0069,                 1.6045,                0.64514,                0.59709,                0.64992,                0.37444,                 1.3745,                 1.3817,                 1.4783,              0.0033228,              0.0033228,              0.0033228
                      2,                 1.3063,                 1.2795,                 1.4413,                0.56121,                0.50444,                0.50885,                0.26414,                 1.5862,                 1.7458,                 1.6277,              0.0065902,              0.0065902,              0.0065902
                      3,                 1.3959,                  1.391,                 1.4966,                0.55284,                0.44067,                0.45167,                0.22384,                  1.776,                 1.9837,                 1.8408,              0.0097916,              0.0097916,              0.0097916
                      4,                 1.4321,                 1.4541,                 1.5406,                0.65387,                0.60653,                0.65968,                0.37535,                 1.4201,                 1.5087,                 1.5336,               0.009703,               0.009703,               0.009703
                      5,                 1.3698,                 1.3528,                 1.5057,                0.68405,                0.63143,                0.68791,                0.40161,                 1.3607,                 1.3148,                 1.4847,               0.009703,               0.009703,               0.009703
                      6,                 1.3267,                 1.2701,                 1.4665,                 0.7029,                0.64442,                0.70629,                0.41709,                 1.3505,                 1.2959,                  1.472,               0.009604,               0.009604,               0.009604
                      7,                 1.2995,                 1.2375,                 1.4555,                0.70458,                0.65596,                0.72377,                0.44283,                 1.2897,                 1.1998,                 1.4186,               0.009505,               0.009505,               0.009505
                      8,                 1.2735,                 1.1949,                 1.4427,                0.76258,                 0.6927,                0.77629,                0.48063,                  1.276,                 1.0725,                 1.4169,               0.009406,               0.009406,               0.009406
                      9,                 1.2477,                 1.1448,                 1.4222,                0.72801,                0.70258,                0.76752,                0.47987,                 1.2457,                 1.0923,                  1.394,               0.009307,               0.009307,               0.009307
                     10,                 1.2273,                 1.1171,                  1.411,                0.77022,                0.72095,                0.79219,                 0.5073,                 1.2131,                 1.0024,                 1.3728,               0.009208,               0.009208,               0.009208
                     11,                 1.2171,                 1.0919,                  1.398,                0.75822,                0.71856,                0.78914,                 0.4945,                 1.2431,                 1.0274,                 1.3883,               0.009109,               0.009109,               0.009109
                     12,                 1.2002,                 1.0686,                 1.3839,                0.76657,                0.72348,                0.79831,                0.52264,                 1.1792,                0.98522,                 1.3346,                0.00901,                0.00901,                0.00901
                     13,                 1.1827,                 1.0537,                  1.377,                0.77584,                0.73307,                0.81236,                0.53845,                 1.1575,                0.94956,                 1.3235,               0.008911,               0.008911,               0.008911
                     14,                 1.1721,                 1.0404,                 1.3718,                0.78738,                0.74791,                0.82163,                0.54632,                 1.1513,                0.92392,                 1.3162,               0.008812,               0.008812,               0.008812
                     15,                 1.1583,                 1.0198,                  1.367,                0.79016,                0.75882,                0.83508,                0.56233,                 1.1317,                0.89829,                 1.3243,               0.008713,               0.008713,               0.008713
                     16,                 1.1492,                0.99856,                 1.3534,                0.79485,                0.75489,                0.83356,                0.56552,                 1.1154,                0.89166,                 1.2963,               0.008614,               0.008614,               0.008614
                     17,                 1.1424,                0.98696,                 1.3449,                0.81038,                 0.7662,                0.84813,                0.58605,                 1.0911,                0.85484,                 1.2785,               0.008515,               0.008515,               0.008515
                     18,                 1.1344,                 0.9712,                 1.3458,                0.80074,                0.76237,                0.83929,                0.57016,                 1.1151,                0.86429,                 1.2894,               0.008416,               0.008416,               0.008416
                     19,                 1.1276,                0.95568,                 1.3321,                0.80517,                0.76775,                0.84517,                0.57705,                 1.0988,                0.84393,                 1.2782,               0.008317,               0.008317,               0.008317
                     20,                 1.1121,                0.93654,                 1.3295,                0.81348,                0.76659,                0.84912,                0.58942,                 1.0811,                0.83104,                 1.2838,               0.008218,               0.008218,               0.008218
                     21,                 1.1118,                0.93088,                 1.3241,                0.81939,                0.77737,                0.85761,                0.59947,                 1.0637,                0.80809,                 1.2524,               0.008119,               0.008119,               0.008119
                     22,                 1.0992,                0.92201,                  1.318,                0.81474,                0.77852,                0.85552,                 0.5957,                 1.0666,                0.80226,                 1.2681,                0.00802,                0.00802,                0.00802
                     23,                 1.0934,                0.90897,                 1.3116,                0.82714,                0.77441,                0.85861,                0.59919,                 1.0672,                0.80148,                 1.2576,               0.007921,               0.007921,               0.007921
                     24,                 1.0892,                0.90436,                 1.3105,                0.82267,                0.78911,                 0.8649,                0.61323,                 1.0421,                 0.7822,                 1.2484,               0.007822,               0.007822,               0.007822
                     25,                 1.0822,                0.89207,                 1.3065,                0.82707,                0.78788,                0.86583,                0.61268,                 1.0432,                0.77275,                 1.2501,               0.007723,               0.007723,               0.007723
                     26,                 1.0756,                0.87347,                 1.2966,                 0.8334,                0.78719,                0.86945,                 0.6155,                 1.0461,                 0.7554,                 1.2457,               0.007624,               0.007624,               0.007624
                     27,                 1.0685,                0.87306,                 1.2972,                0.82883,                0.79343,                0.86981,                0.61723,                 1.0383,                0.76019,                 1.2427,               0.007525,               0.007525,               0.007525
                     28,                 1.0644,                0.86881,                 1.2916,                0.82541,                0.79607,                0.86906,                0.61982,                 1.0348,                0.75473,                 1.2393,               0.007426,               0.007426,               0.007426
                     29,                 1.0538,                0.85206,                 1.2884,                0.83468,                0.79354,                0.87257,                0.62616,                 1.0266,                0.74339,                 1.2358,               0.007327,               0.007327,               0.007327
                     30,                 1.0457,                0.84232,                 1.2786,                0.83093,                0.79831,                0.87463,                0.62884,                 1.0199,                0.73848,                 1.2295,               0.007228,               0.007228,               0.007228
